id,name_display,gif_url,body_part_raw,equipment_raw,target_raw,name_norm,body_part_group,equipment_group,target_group,movement_pattern,exercise_type,compound,unilateral,experience_min,skill_score,fatigue_score,time_per_set_sec,rest_time_sec,warmup_time_sec,default_sets_beginner,default_sets_intermediate,default_sets_advanced,default_reps_beginner,default_reps_intermediate,default_reps_advanced,estimated_total_time_beginner_sec
1707,prone twist on stability ball,https://v2.exercisedb.io/image/wnebr2ASSuIozI,waist,stability ball,abs,prone_twist_on_stability_ball,waist,ball,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
651,pull up (neutral grip),https://v2.exercisedb.io/image/g4p0YPaDvnrHTR,back,body weight,lats,pull_up_neutral_grip,back,bodyweight,back,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
650,pull-in (on stability ball),https://v2.exercisedb.io/image/-jZelUg8TB1-qJ,waist,stability ball,abs,pull_in_on_stability_ball,waist,ball,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
652,pull-up,https://v2.exercisedb.io/image/bO76Z1G4OoiCkg,back,body weight,lats,pull_up,back,bodyweight,back,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
1689,push and pull bodyweight,https://v2.exercisedb.io/image/A6OXtsigbbyN8g,chest,body weight,pectorals,push_and_pull_bodyweight,chest,bodyweight,chest,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3638,push to run,https://v2.exercisedb.io/image/kGyXMEXCUJZ403,cardio,body weight,cardiovascular system,push_to_run,cardio,bodyweight,cardiovascular system,cardio,cardio,FALSE,FALSE,beginner,3,5,300,30,180,1,1,1,10-20 min,15-30 min,20-45 min,510
1307,push up on bosu ball,https://v2.exercisedb.io/image/WensUWulk4uFzd,chest,bosu ball,pectorals,push_up_on_bosu_ball,chest,ball,chest,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
662,push-up,https://v2.exercisedb.io/image/9MsFCUhdaBISl1,chest,body weight,pectorals,push_up,chest,bodyweight,chest,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
653,push-up (bosu ball),https://v2.exercisedb.io/image/I2gEvgwiYt0ygV,chest,bosu ball,pectorals,push_up_bosu_ball,chest,ball,chest,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
655,push-up (on stability ball),https://v2.exercisedb.io/image/iYvLeY-6fg8s0k,chest,stability ball,pectorals,push_up_on_stability_ball,chest,ball,chest,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
659,push-up (wall),https://v2.exercisedb.io/image/3fNM2D1E6h8eDW,chest,body weight,pectorals,push_up_wall,chest,bodyweight,chest,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
658,push-up (wall) v. 2,https://v2.exercisedb.io/image/Ph1r5u60B3vTtO,chest,body weight,pectorals,push_up_wall_v_2,chest,bodyweight,chest,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
660,push-up close-grip off dumbbell,https://v2.exercisedb.io/image/6ALCB8nIBWeTQO,upper arms,dumbbell,triceps,push_up_close_grip_off_dumbbell,upper_arms,dumbbell,upper_arms,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
